kHAP$kHAP,kHAP$diff.mean,kHAP$diff.lower,kHAP$diff.upper,kHAP$diff.df
100,0.45014730360171,0.426230299880389,0.47406430732303,100
250,0.431841802964827,0.406237757268949,0.457445848660705,100
500,0.426946009518079,0.400716106010057,0.453175913026101,100
1000,0.417756140254909,0.391778541144074,0.443733739365745,100
2500,0.390163088921362,0.362824140433002,0.417502037409723,100
5000,0.298459759156658,0.273038050672115,0.3238814676412,100
10000,0.210206537622981,0.184947924376158,0.235465150869804,100
20000,0.181339720396665,0.156649178379073,0.206030262414257,100
30000,0.176791672853158,0.148647018854936,0.204936326851379,100
