Var1,Freq
Australia,4
Australia: Kalumburu,4
Belarus,17
Cambodia,66
China,156
China: Bama; Guangxi,10
China: Hunan,7
China: Inner Mongolia; Hulun Buir Aimak,19
China: Shandong,52
Czech Republic,219
Czech Republic: West Bohemia,3
Dominican Republic,27
Ecuador,114
Egypt: el-Hayez,35
Ethiopia,70
Finland,1476
Germany,5
Greenland: Ammassalik Municipality,15
India,53
India: Madhya Pradesh,21
Indonesia,24
Indonesia: Java; Tengger,11
Iraq: Marsh Arab,1
Italy,489
Italy: Cavazzo Carnico; Udine,1
Italy: Isle of Elba,9
Italy: Marche,7
Italy: Northern Italy,56
Italy: Sardinia,46
Italy: Southern Italy,41
Japan,723
Japan: Aichi,1
Japan: Chiba,2
Japan: Ehime,1
Japan: Fukushima,1
Japan: Gunma,1
Japan: Hokkaido,1
Japan: Kanagawa,1
Japan: Okayama,1
Japan: Shizuoka,1
Japan: Tokyo,2
Jordan,6
Kazakhstan,1
Lebanon: Kfar Chouba,1
Libya,11
Madagascar: Mikea,5
Mauritania,32
Mexico: Tamaulipas,63
Mongolia,2
Morocco,110
Morocco: Berber,11
Nepal: Kathmandu,21
New Zealand,7
Pakistan,101
Papua New Guinea: Bundi area,4
Papua New Guinea: East New Britain; Marabu,1
Papua New Guinea: New Ireland,1
Papua New Guinea: West New Britain; Kol,14
Papua New Guinea: West New Britain; Uasilau,1
Philippines: Ivatan from Batan Archipelago,6
Philippines: Palawan Island,9
Poland,603
Russia,220
Russia: Belgorod,3
Russia: Belgorod Region,3
Russia: Central Siberia,181
Russia: Chukchi,1
Russia: Kalmyk Republic,3
Russia: Krasnoyarsk Region,1
Russia: Lower Amur,3
Russia: North Ossetia,83
Russia: North-East Altai,18
Russia: North-East Siberia,82
Russia: North-West Siberia,13
Russia: northwestern part,1
Russia: Novgorod region,46
Russia: Sakha Republic; Chokurdakh Village,1
Russia: Siberia,11
Russia: South Siberia,78
Russia: Tuva Republic,4
Russia: Vladimir,1
Russia: Volga-Ural Region,1
Saudi Arabia,181
Slovakia,24
Solomon Islands: Malaita; Kwaio,16
South Korea: Seoul,5
Spain,1
Spain: Basque,22
Spain: Canary Islands,45
Sri Lanka: Sinhalese,1
Sweden: Sami; Norrbotten,18
Taiwan,223
Taiwan: Yami from Orchid Island,6
Tanzania,50
Thailand: Mergui Archipelago,2
Tunisia,42
Turkey,1
United Kingdom: England,1
United Kingdom: Great Britain,18
USA,559
USA: Oklahoma; Flint District,12
Viet Nam,24
Yemen,320
