k_hap,emmean,SE,df,lower.CL,upper.CL
khap_100,0.7425120727380822,0.004356580271764971,900,0.7339618337913202,0.7510623116848442
khap_250,0.735018180353845,0.004356580271764972,900,0.726467941407083,0.743568419300607
khap_500,0.7273834958781156,0.004356580271764968,900,0.7188332569313536,0.7359337348248776
khap_1000,0.7013523660787664,0.004356580271764972,900,0.6928021271320044,0.7099026050255284
khap_2500,0.6349736355749647,0.004356580271764968,900,0.6264233966282027,0.6435238745217267
khap_5000,0.5571425409059076,0.004356580271764974,900,0.5485923019591457,0.5656927798526696
khap_10000,0.5161611814114482,0.004356580271764966,900,0.5076109424646862,0.5247114203582102
khap_20000,0.5058221474994328,0.004356580271764971,900,0.4972719085526708,0.5143723864461948
khap_30000,0.4863260761712276,0.00435658027176497,900,0.4777758372244656,0.4948763151179896
